Date,rf
2018-09-24,8.336421524527237e-05
2018-09-25,8.511242475337626e-05
2018-09-26,8.480169276330129e-05
2018-09-27,8.402474705741703e-05
2018-09-28,8.441323892516495e-05
2018-10-01,8.460746596673422e-05
2018-10-02,8.538429760144014e-05
2018-10-03,8.51901085792707e-05
2018-10-04,8.51901085792707e-05
2018-10-05,8.499590079330988e-05
2018-10-08,8.499590079330988e-05
2018-10-09,8.577265639856642e-05
2018-10-10,8.713161758702739e-05
2018-10-11,8.69375047983033e-05
2018-10-12,8.705397175981803e-05
2018-10-15,8.751980542621264e-05
2018-10-16,8.868414115278593e-05
2018-10-17,8.868414115278593e-05
2018-10-18,8.849011354737605e-05
2018-10-19,8.868414115278593e-05
2018-10-22,8.860652569777e-05
2018-10-23,8.984813534878972e-05
2018-10-24,8.965416464987002e-05
2018-10-25,8.946017521892829e-05
2018-10-26,8.918858148340989e-05
2018-10-29,8.868414115278593e-05
2018-10-30,8.957656816550227e-05
2018-10-31,8.938258419143262e-05
2018-11-01,8.907217715606654e-05
2018-11-02,8.918858148340989e-05
2018-11-05,8.899456929038668e-05
2018-11-06,9.06239418391751e-05
2018-11-07,9.06239418391751e-05
2018-11-08,9.03524277447773e-05
2018-11-09,9.023605755306726e-05
2018-11-12,9.023605755306726e-05
2018-11-13,9.004210581556049e-05
2018-11-14,9.120570181102354e-05
2018-11-15,9.06239418391751e-05
2018-11-16,9.023605755306726e-05
2018-11-19,9.023605755306726e-05
2018-11-20,9.159349133367827e-05
2018-11-21,9.217509995011755e-05
2018-11-23,9.209756198974267e-05
2018-11-26,9.190369197125312e-05
2018-11-27,9.229141329357387e-05
2018-11-28,9.159349133367827e-05
2018-11-29,9.06239418391751e-05
2018-11-30,9.054637356362308e-05
2018-12-03,8.977055190675813e-05
2018-12-04,9.275663257783609e-05
2018-12-06,9.229141329357387e-05
2018-12-07,9.178736726258988e-05
2018-12-10,9.139959668652762e-05
2018-12-11,9.295045168918037e-05
2018-12-12,9.314427057596082e-05
2018-12-13,9.267909673698394e-05
2018-12-14,9.287292887750997e-05
2018-12-17,9.178736726258988e-05
2018-12-18,9.132204357152671e-05
2018-12-19,9.170982172564239e-05
